Date,Description,Amount
01/02/2026,VENDOR 1 PAYMENT,-112.99
01/03/2026,VENDOR 2 PAYMENT,-61.99
01/04/2026,VENDOR 3 PAYMENT,-276.99
01/05/2026,VENDOR 4 PAYMENT,-188.99
01/06/2026,VENDOR 5 PAYMENT,-44.99
01/07/2026,VENDOR 6 PAYMENT,-253.99
01/08/2026,VENDOR 7 PAYMENT,-158.99
01/09/2026,VENDOR 8 PAYMENT,-399.99
01/10/2026,VENDOR 9 PAYMENT,-295.99
01/11/2026,VENDOR 10 PAYMENT,-52.99
01/12/2026,VENDOR 11 PAYMENT,-90.99
01/13/2026,VENDOR 12 PAYMENT,-373.99
01/14/2026,VENDOR 13 PAYMENT,-73.99
01/15/2026,VENDOR 14 PAYMENT,-107.99
01/16/2026,VENDOR 15 PAYMENT,-304.99
01/17/2026,VENDOR 16 PAYMENT,-355.99
01/18/2026,VENDOR 17 PAYMENT,-188.99
01/19/2026,VENDOR 18 PAYMENT,-56.99
01/20/2026,VENDOR 19 PAYMENT,-359.99
01/21/2026,VENDOR 20 PAYMENT,-397.99
01/22/2026,VENDOR 21 PAYMENT,-371.99
01/23/2026,VENDOR 22 PAYMENT,-19.99
01/24/2026,VENDOR 23 PAYMENT,-109.99
01/25/2026,VENDOR 24 PAYMENT,-35.99
01/26/2026,VENDOR 25 PAYMENT,-386.99
01/27/2026,VENDOR 26 PAYMENT,-143.99
01/28/2026,VENDOR 27 PAYMENT,-453.99
01/29/2026,VENDOR 28 PAYMENT,-417.99
01/30/2026,VENDOR 29 PAYMENT,-448.99
01/31/2026,VENDOR 30 PAYMENT,-197.99
02/01/2026,VENDOR 31 PAYMENT,-212.99
02/02/2026,VENDOR 32 PAYMENT,-488.99
02/03/2026,VENDOR 33 PAYMENT,-204.99
02/04/2026,VENDOR 34 PAYMENT,-450.99
02/05/2026,VENDOR 35 PAYMENT,-311.99
02/06/2026,VENDOR 36 PAYMENT,-257.99
02/07/2026,VENDOR 37 PAYMENT,-288.99
02/08/2026,VENDOR 38 PAYMENT,-236.99
02/09/2026,VENDOR 39 PAYMENT,-488.99
02/10/2026,VENDOR 40 PAYMENT,-353.99
02/11/2026,VENDOR 41 PAYMENT,-90.99
02/12/2026,VENDOR 42 PAYMENT,-253.99
02/13/2026,VENDOR 43 PAYMENT,-141.99
02/14/2026,VENDOR 44 PAYMENT,-291.99
02/15/2026,VENDOR 45 PAYMENT,-154.99
02/16/2026,VENDOR 46 PAYMENT,-170.99
02/17/2026,VENDOR 47 PAYMENT,-42.99
02/18/2026,VENDOR 48 PAYMENT,-5.99
02/19/2026,VENDOR 49 PAYMENT,-223.99
02/20/2026,VENDOR 50 PAYMENT,-273.99
02/21/2026,VENDOR 51 PAYMENT,-205.99
02/22/2026,VENDOR 52 PAYMENT,-488.99
02/23/2026,VENDOR 53 PAYMENT,-254.99
02/24/2026,VENDOR 54 PAYMENT,-199.99
02/25/2026,VENDOR 55 PAYMENT,-64.99
02/26/2026,VENDOR 56 PAYMENT,-252.99
02/27/2026,VENDOR 57 PAYMENT,-477.99
02/28/2026,VENDOR 58 PAYMENT,-485.99
03/01/2026,VENDOR 59 PAYMENT,-377.99
03/02/2026,VENDOR 60 PAYMENT,-284.99
03/03/2026,VENDOR 61 PAYMENT,-396.99
03/04/2026,VENDOR 62 PAYMENT,-63.99
03/05/2026,VENDOR 63 PAYMENT,-280.99
03/06/2026,VENDOR 64 PAYMENT,-405.99
03/07/2026,VENDOR 65 PAYMENT,-4.99
03/08/2026,VENDOR 66 PAYMENT,-398.99
03/09/2026,VENDOR 67 PAYMENT,-317.99
03/10/2026,VENDOR 68 PAYMENT,-12.99
03/11/2026,VENDOR 69 PAYMENT,-246.99
03/12/2026,VENDOR 70 PAYMENT,-56.99
03/13/2026,VENDOR 71 PAYMENT,-223.99
03/14/2026,VENDOR 72 PAYMENT,-21.99
03/15/2026,VENDOR 73 PAYMENT,-459.99
03/16/2026,VENDOR 74 PAYMENT,-153.99
03/17/2026,VENDOR 75 PAYMENT,-324.99
03/18/2026,VENDOR 76 PAYMENT,-344.99
03/19/2026,VENDOR 77 PAYMENT,-28.99
03/20/2026,VENDOR 78 PAYMENT,-97.99
03/21/2026,VENDOR 79 PAYMENT,-434.99
03/22/2026,VENDOR 80 PAYMENT,-154.99
03/23/2026,VENDOR 81 PAYMENT,-170.99
03/24/2026,VENDOR 82 PAYMENT,-265.99
03/25/2026,VENDOR 83 PAYMENT,-210.99
03/26/2026,VENDOR 84 PAYMENT,-356.99
03/27/2026,VENDOR 85 PAYMENT,-274.99
03/28/2026,VENDOR 86 PAYMENT,-104.99
03/29/2026,VENDOR 87 PAYMENT,-451.99
03/30/2026,VENDOR 88 PAYMENT,-231.99
03/31/2026,VENDOR 89 PAYMENT,-247.99
